,Actor Name,Sentiment
289,Tusshar Kapoor,Happy
290,Uday Chopra,Neutral
291,Upen Patel,Happy
292,Utpal Dutt,Happy
293,Varun Badola,Happy
294,Varun Dhawan,Sad
295,Varun Sharma,Happy
296,Vicky Kaushal,Sad
297,Vidyut Jammwal,Neutral
298,Vijay Arora,No face found
299,Vijay Raaz,Angry
300,Vijay,Neutral
301,Vikram Gokhale,Neutral
302,Vikrant Massey,Neutral
303,Vinay Pathak,Happy
304,Vinod Mehra,Neutral
305,Virendra Saxena,Happy
306,Vivaan Shah,Sad
307,Vivan Bhatena,Happy
308,Vivek Mushran,Happy
309,Vivek Oberoi,Happy
310,Yashpal Sharma,Neutral
311,Zakir Hussain,No face found
312,Zayed Khan,Happy
